blockNumber,transactionHash,error,from.address,from.isContract,to.address,to.isContract,gas,gasPrice,gasLimit,timestamp,methodId,methodName,index,value,nonce,input,UtcDateTime,Status,Type
68734257,0x5491b5af86c3b1717f472ebeb94ee52397be744c587a4982b67e431e71a728c4,,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,0xffe6969bb8799ec86631d9d1bb9fcd9779cd3fd2,true,421462,386250000000,423463,1768964438,0x0d6115d0,,0,10000000000000000000,10,,2026-01-21T03:00:38.000Z,success,2 (EIP-1559)
68734159,0x576ae6b8d13304b79405b76eb9c0f9f4126f59ac4f696b1e18b7a8a9f9348113,,0xe06e10c3dadf493499dd239699c4437f409c9dfa,false,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,21000,772500000000,21000,1768964396,,,0,50000000000000000000,49956,,2026-01-21T02:59:56.000Z,success,0 (Legacy)
68725290,0xf2ffd2684fa4e567e690b9c17fc01ca0a81d1e4681ea3e323123271ed1c79a83,,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,0xffe6969bb8799ec86631d9d1bb9fcd9779cd3fd2,true,399011,386250000000,401012,1768960626,0x0d6115d0,,0,10000000000000000000,9,,2026-01-21T01:57:06.000Z,success,2 (EIP-1559)
68725285,0xca4e5c4b3acdacbe519d950e5d942f4270cb2863c83b6cd2278b0e3c85e8e686,,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,0xffe6969bb8799ec86631d9d1bb9fcd9779cd3fd2,true,398963,386250000000,400964,1768960624,0x0d6115d0,,0,10000000000000000000,8,,2026-01-21T01:57:04.000Z,success,2 (EIP-1559)
68725281,0xf7cf1db62258684e150889b658cff1fcb597db5643f2832a72e3eccb255f64c5,,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,0xffe6969bb8799ec86631d9d1bb9fcd9779cd3fd2,true,376339,386250000000,378340,1768960622,0x0d6115d0,,0,10000000000000000000,7,,2026-01-21T01:57:02.000Z,success,2 (EIP-1559)
68725276,0x3c7a77f9f8f084b370d3955c7dfaa41ba12ad7ac096f4960d7fc281de74ce028,,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,0xffe6969bb8799ec86631d9d1bb9fcd9779cd3fd2,true,398927,386250000000,400928,1768960620,0x0d6115d0,,0,10000000000000000000,6,,2026-01-21T01:57:00.000Z,success,2 (EIP-1559)
68725271,0x98284c97372f4db7a2752f1167facc1689b9abf2874c9877494eb86a40be4f61,,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,0xffe6969bb8799ec86631d9d1bb9fcd9779cd3fd2,true,421462,386250000000,423463,1768960618,0x0d6115d0,,0,10000000000000000000,5,,2026-01-21T01:56:58.000Z,success,2 (EIP-1559)
68399828,0xce6748a4dfbe987eaed1cb3778aa8336bd727765e52479aea402def125c22d12,,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,0xffe6969bb8799ec86631d9d1bb9fcd9779cd3fd2,true,376339,386250000000,378340,1768800428,0x0d6115d0,,0,10000000000000000000,4,,2026-01-19T05:27:08.000Z,success,2 (EIP-1559)
68399824,0x76b3a036c5f44979aee618c5b6e0d30a5fda99056b94add95010a1c80ce1331a,,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,0xffe6969bb8799ec86631d9d1bb9fcd9779cd3fd2,true,398927,386250000000,400928,1768800426,0x0d6115d0,,0,10000000000000000000,3,,2026-01-19T05:27:06.000Z,success,2 (EIP-1559)
68399819,0x69c2c81ec2d5d4401d95b22a140bb6cf4192bce9649a5c8eb17801259853e6ad,,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,0xffe6969bb8799ec86631d9d1bb9fcd9779cd3fd2,true,421462,386250000000,423463,1768800423,0x0d6115d0,,0,10000000000000000000,2,,2026-01-19T05:27:03.000Z,success,2 (EIP-1559)
68324613,0xf460dcb1a1b24ba664a8e2835ad559c8043626690b1248dc224f1340875d8a99,,0xa8b210ad34474f48183eda623d28deebc06a28f2,false,0xb42a5fe98251f078f1a1d0fca905765f71810876,false,21000,772500000000,21000,1768759236,,,0,50000000000000000000,50258,,2026-01-18T18:00:36.000Z,success,0 (Legacy)
